Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1282	0.293	2.5e-002	0.	0.
1283	0.291	2.5e-002	0.	0.
1284	0.289	2.5e-002	0.	0.
1285	0.287	2.5e-002	0.	0.
1286	0.285	2.5e-002	0.	0.
1287	0.283	2.5e-002	0.	0.
1288	0.281	2.5e-002	0.	0.
1289	0.279	2.5e-002	0.	0.
1290	0.277	2.5e-002	0.	0.
1291	0.275	2.5e-002	0.	0.
1292	0.273	2.5e-002	0.	0.
1293	0.271	2.5e-002	0.	0.
1294	0.269	2.5e-002	0.	0.
1295	0.267	2.5e-002	0.	0.
1296	0.265	2.5e-002	0.	0.
1297	0.263	2.5e-002	0.	0.
1298	0.261	2.5e-002	0.	0.
1299	0.259	2.5e-002	0.	0.
1300	0.257	2.5e-002	0.	0.
1301	0.255	2.5e-002	0.	0.
1302	0.253	2.5e-002	0.	0.
1303	0.251	2.5e-002	0.	0.
1304	0.249	2.5e-002	0.	0.
1305	0.247	2.5e-002	0.	0.
1306	0.245	2.5e-002	0.	0.
1307	0.243	2.5e-002	0.	0.
1308	0.241	2.5e-002	0.	0.
1309	0.239	2.5e-002	0.	0.
1310	0.237	2.5e-002	0.	0.
1311	0.235	2.5e-002	0.	0.
1312	0.233	2.5e-002	0.	0.
1313	0.231	2.5e-002	0.	0.
1314	0.229	2.5e-002	0.	0.
1315	0.227	2.5e-002	0.	0.
1316	0.225	2.5e-002	0.	0.
1317	0.223	2.5e-002	0.	0.
1318	0.221	2.5e-002	0.	0.
1319	0.219	2.5e-002	0.	0.
1320	0.217	2.5e-002	0.	0.
1321	0.215	2.5e-002	0.	0.
1322	0.213	2.5e-002	0.	0.
1323	0.211	2.5e-002	0.	0.
1324	0.209	2.5e-002	0.	0.
1325	0.207	2.5e-002	0.	0.
1326	0.205	2.5e-002	0.	0.
1327	0.203	2.5e-002	0.	0.
1328	0.201	2.5e-002	0.	0.
1329	0.199	2.5e-002	0.	0.
1330	0.197	2.5e-002	0.	0.
1331	0.195	2.5e-002	0.	0.
1332	0.193	2.5e-002	0.	0.
1333	0.191	2.5e-002	0.	0.
