Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
875	7.e-003	-6.e-003	0.	6.6563e-010
876	6.e-003	-6.e-003	0.	6.6588e-010
877	5.e-003	-6.e-003	0.	6.6609e-010
878	4.e-003	-6.e-003	0.	6.6626e-010
879	3.e-003	-6.e-003	0.	6.6639e-010
880	2.e-003	-6.e-003	0.	6.6649e-010
881	1.e-003	-6.e-003	0.	6.6654e-010
882	-3.6733e-016	-6.e-003	0.	6.6656e-010
883	-1.e-003	-6.e-003	0.	6.6654e-010
884	-2.e-003	-6.e-003	0.	6.6648e-010
885	-3.e-003	-6.e-003	0.	6.6638e-010
886	-4.e-003	-6.e-003	0.	6.6624e-010
887	-5.e-003	-6.e-003	0.	6.6606e-010
888	-6.e-003	-6.e-003	0.	6.6584e-010
889	-7.e-003	-6.e-003	0.	6.6558e-010
890	-8.e-003	-6.e-003	0.	6.6528e-010
891	-9.e-003	-6.e-003	0.	6.6494e-010
892	-1.e-002	-6.e-003	0.	6.6455e-010
893	-1.1e-002	-6.e-003	0.	6.6413e-010
894	-1.2e-002	-6.e-003	0.	6.6365e-010
895	-1.3e-002	-6.e-003	0.	6.6313e-010
896	-1.4e-002	-6.e-003	0.	6.6257e-010
897	-1.5e-002	-6.e-003	0.	6.6196e-010
898	-1.6e-002	-6.e-003	0.	6.6129e-010
899	-1.7e-002	-6.e-003	0.	6.6058e-010
900	-1.8e-002	-6.e-003	0.	6.5982e-010
901	-1.9e-002	-6.e-003	0.	6.59e-010
902	-2.e-002	-6.e-003	0.	6.5814e-010
903	-2.1e-002	-6.e-003	0.	6.5721e-010
904	-2.2e-002	-6.e-003	0.	6.5623e-010
905	-2.3e-002	-6.e-003	0.	6.5518e-010
906	-2.4e-002	-6.e-003	0.	6.5408e-010
907	-2.5e-002	-6.e-003	0.	6.5292e-010
908	-2.6e-002	-6.e-003	0.	6.517e-010
909	-2.7e-002	-6.e-003	0.	6.5041e-010
910	-2.8e-002	-6.e-003	0.	6.4905e-010
911	-2.9e-002	-6.e-003	0.	6.4763e-010
912	-3.e-002	-6.e-003	0.	6.4613e-010
913	-3.1e-002	-6.e-003	0.	6.4457e-010
914	-3.2e-002	-6.e-003	0.	6.4293e-010
915	-3.3e-002	-6.e-003	0.	6.4121e-010
916	-3.4e-002	-6.e-003	0.	6.3941e-010
917	-3.5e-002	-6.e-003	0.	6.3754e-010
918	-3.6e-002	-6.e-003	0.	6.3558e-010
919	-3.7e-002	-6.e-003	0.	6.3354e-010
920	-3.8e-002	-6.e-003	0.	6.314e-010
921	-3.9e-002	-6.e-003	0.	6.2918e-010
922	-4.e-002	-6.e-003	0.	6.2688e-010
923	-4.1e-002	-6.e-003	0.	6.2448e-010
924	-4.2e-002	-6.e-003	0.	6.2199e-010
925	-4.3e-002	-6.e-003	0.	6.1942e-010
926	-4.4e-002	-6.e-003	0.	6.1678e-010
927	-4.5e-002	-6.e-003	0.	6.1406e-010
928	-4.6e-002	-6.e-003	0.	6.1123e-010
929	-4.7e-002	-6.e-003	0.	6.0832e-010
930	-4.8e-002	-6.e-003	0.	6.0529e-010
931	-4.9e-002	-6.e-003	0.	6.0216e-010
932	-5.e-002	-6.e-003	0.	5.9881e-010
933	-5.1e-002	-6.e-003	0.	5.9532e-010
934	-5.2e-002	-6.e-003	0.	5.9182e-010
935	-5.3e-002	-6.e-003	0.	5.8799e-010
936	-5.4e-002	-6.e-003	0.	5.8419e-010
937	-5.5e-002	-6.e-003	0.	5.8087e-010
938	-5.6e-002	-6.e-003	0.	5.7625e-010
939	-5.7e-002	-6.e-003	0.	5.7126e-010
940	-5.8e-002	-6.e-003	0.	5.6548e-010
941	-5.9e-002	-6.e-003	0.	5.5935e-010
942	-6.e-002	-6.e-003	0.	5.5477e-010
943	-6.1e-002	-6.e-003	0.	5.5029e-010
944	-6.2e-002	-6.e-003	0.	5.4705e-010
945	-6.3e-002	-6.e-003	0.	5.4413e-010
946	-6.4e-002	-6.e-003	0.	5.4159e-010
947	-6.5e-002	-6.e-003	0.	5.393e-010
948	-6.6e-002	-6.e-003	0.	5.3715e-010
949	-6.7e-002	-6.e-003	0.	5.3516e-010
950	-6.8e-002	-6.e-003	0.	5.3328e-010
951	-6.9e-002	-6.e-003	0.	5.3147e-010
952	-7.e-002	-6.e-003	0.	5.2974e-010
953	-7.1e-002	-6.e-003	0.	5.2807e-010
954	-7.2e-002	-6.e-003	0.	5.2644e-010
955	-7.3e-002	-6.e-003	0.	5.2485e-010
956	-7.4e-002	-6.e-003	0.	5.2329e-010
957	-7.5e-002	-6.e-003	0.	5.2175e-010
958	-7.6e-002	-6.e-003	0.	5.2024e-010
959	-7.7e-002	-6.e-003	0.	5.1874e-010
960	-7.8e-002	-6.e-003	0.	5.1726e-010
961	-7.9e-002	-6.e-003	0.	5.1579e-010
962	-8.e-002	-6.e-003	0.	5.1433e-010
963	-8.1e-002	-6.e-003	0.	5.1288e-010
964	-8.2e-002	-6.e-003	0.	5.1143e-010
965	-8.3e-002	-6.e-003	0.	5.0998e-010
966	-8.4e-002	-6.e-003	0.	5.0854e-010
967	-8.5e-002	-6.e-003	0.	5.071e-010
968	-8.6e-002	-6.e-003	0.	5.0566e-010
969	-8.7e-002	-6.e-003	0.	5.0421e-010
970	-8.8e-002	-6.e-003	0.	5.0277e-010
971	-8.9e-002	-6.e-003	0.	5.0133e-010
972	-9.e-002	-6.e-003	0.	4.9989e-010
973	-9.1e-002	-6.e-003	0.	4.9844e-010
974	-9.2e-002	-6.e-003	0.	4.97e-010
975	-9.3e-002	-6.e-003	0.	4.9555e-010
976	-9.4e-002	-6.e-003	0.	4.941e-010
977	-9.5e-002	-6.e-003	0.	4.9265e-010
978	-9.6e-002	-6.e-003	0.	4.9119e-010
979	-9.7e-002	-6.e-003	0.	4.8974e-010
980	-9.8e-002	-6.e-003	0.	4.8828e-010
981	-9.9e-002	-6.e-003	0.	4.8682e-010
982	-0.1	-6.e-003	0.	4.8536e-010
983	-0.101	-6.e-003	0.	4.839e-010
984	-0.102	-6.e-003	0.	4.8244e-010
